Early BCE/CE,Late BCE/CE,Biological Taxonomy,Taxonomic Identifier,Anatomical Identification,Element,Taxonomic ID,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
-17850,-17050,Ovis orientalis,Ovis orientalis,calcaneus,Calcaneus,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,lateral malleolus of fibula,Os malleolare,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,humerus,Humerus,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,humerus,Humerus,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,humerus,Humerus,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,distal phalanx,Phalanx anterior/posterior 3,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,distal phalanx,Phalanx anterior/posterior 3,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,distal phalanx,Phalanx anterior/posterior 3,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,distal phalanx,Phalanx anterior/posterior 3,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,distal phalanx,Phalanx anterior/posterior 3,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,distal phalanx,Phalanx anterior/posterior 3,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tibia,Tibia,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,scapula,Scapula,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,ulna,Ulna,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tibia,Tibia,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,talus,Astragalus,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,humerus,Humerus,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tibia,Tibia,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,talus,Astragalus,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tibia,Tibia,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tibia,Tibia,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,talus,Astragalus,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,talus,Astragalus,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,talus,Astragalus,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tibia,Tibia,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tibia,Tibia,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,calcaneus,Calcaneus,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,calcaneus,Calcaneus,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,calcaneus,Calcaneus,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,calcaneus,Calcaneus,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,innominate bone,Pelvis,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of upper jaw,Loose maxillar tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,innominate bone,Pelvis,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of upper jaw,Loose maxillar tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,innominate bone,Pelvis,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,proximal phalanx,Phalanx anterior/posterior 1,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,innominate bone,Pelvis,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,tooth of lower jaw,Loose mandibular tooth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
